timestamp,x,y,z,vx,vy,vz,speed
10.8320,0.9250,1.7250,0.0750,-0.0095,-0.0487,-0.3864,0.3895
10.8320,0.9250,1.5750,0.0750,-0.0095,-0.0447,-0.3683,0.3711
10.8320,0.9250,-0.7750,0.0750,-0.0094,-0.0082,-0.2368,0.2372
10.8320,0.9250,-0.9250,0.0750,-0.0064,-0.0164,-0.2543,0.2549
10.8320,-0.1250,-4.4250,0.0750,0.0612,-0.0058,0.3094,0.3155
10.8320,-0.6250,-4.4250,0.0750,0.0614,-0.0056,-0.2635,0.2706
10.8320,-1.3250,-4.4250,0.0750,0.0542,-0.0214,0.2512,0.2579
10.8320,-2.9250,4.5250,0.1750,0.0722,-0.0333,0.1856,0.2019
10.8320,-0.3750,4.5750,0.1750,-0.0457,0.0033,-0.2263,0.2309
10.8320,0.9250,2.6250,0.1750,0.0775,0.3109,-0.0043,0.3205
10.8320,0.9250,2.0750,0.1250,0.0710,0.1415,-0.1381,0.2101
10.8320,0.9250,1.4750,0.1250,-0.0068,-0.0520,-0.3455,0.3494
10.8320,0.9250,1.2250,0.1250,-0.0066,-0.0415,-0.3045,0.3074
10.8320,0.9250,1.1250,0.1250,-0.0063,-0.0371,-0.2847,0.2872
10.8320,0.9250,1.0750,0.1250,-0.0064,-0.0337,-0.2695,0.2716
10.8320,0.9250,-2.4750,0.0250,-0.0582,-0.1163,0.1621,0.2078
10.8320,0.9250,-2.7750,0.0250,-0.0582,-0.1477,0.2892,0.3299
10.8320,-4.1250,2.6750,0.1750,-0.0011,-0.0029,-0.2847,0.2847
10.8320,0.9250,2.3250,0.1750,0.0763,0.2568,0.1034,0.2872
10.8320,0.9250,1.5750,0.1750,0.0114,0.0183,0.3251,0.3258
10.8320,0.9250,1.3750,0.1750,0.0004,-0.0359,-0.2564,0.2589
10.8320,0.3250,4.5750,0.3750,-0.2198,-0.0064,-0.0782,0.2334
10.8320,0.9250,2.3250,0.2250,0.0111,0.0425,0.4016,0.4040
10.8320,0.9250,2.1250,0.2250,0.0044,-0.0485,-0.3413,0.3447
10.8320,0.9250,1.9250,0.2250,0.0042,-0.0390,-0.3040,0.3065
10.8320,0.9250,1.5750,0.2250,0.0148,0.0587,0.2030,0.2118
10.8320,0.9250,-2.2250,-0.0250,0.0601,0.2716,0.2587,0.3798
10.8320,0.9250,-2.4750,-0.0250,0.0636,0.2672,-0.1682,0.3221
10.8320,-0.7250,4.5750,0.3750,-0.2384,0.0109,0.0321,0.2408
10.8320,-0.3750,4.5750,0.3750,-0.2314,0.0105,0.3533,0.4224
10.8320,0.3250,4.5750,0.4250,-0.2034,-0.0049,-0.0603,0.2122
10.8320,0.4750,4.5750,0.4250,-0.2051,-0.0054,0.0611,0.2141
10.8320,0.6750,4.5750,0.4250,-0.2065,-0.0059,0.1833,0.2762
10.8320,0.8750,3.4250,0.3750,0.0162,0.2446,0.0523,0.2506
10.8320,0.9250,2.6750,0.3250,0.0120,0.0599,-0.2098,0.2186
10.8320,-0.3750,4.5750,0.4250,-0.2138,0.0080,0.2672,0.3423
10.8320,-0.0250,4.5750,0.4250,-0.2277,0.0021,0.1217,0.2582
10.8320,-0.2750,-1.9250,-0.0750,-0.0126,-0.3522,0.0008,0.3524
10.8320,0.9250,-1.0250,0.1250,-0.0117,-0.0024,-0.2655,0.2658
10.8320,0.9250,-1.0750,0.1250,-0.0119,-0.0022,-0.2776,0.2778
10.8320,0.9250,-1.3750,0.1250,0.0046,-0.0557,0.3261,0.3309
10.8320,0.9250,-1.5250,0.1250,0.0048,-0.0634,0.3514,0.3571
10.8320,0.9250,-1.6750,0.1250,-0.0676,0.1118,-0.1951,0.2348
10.8320,0.9250,2.3750,0.2750,0.0096,-0.0032,-0.2889,0.2891
10.8320,0.9250,-1.2750,0.1750,-0.0139,0.0187,-0.2626,0.2637
10.8320,0.9250,-1.6750,0.1750,-0.0124,0.0010,-0.3409,0.3411
10.8320,0.9250,-2.2250,0.1750,-0.0655,0.2993,0.0562,0.3115
10.8320,0.9250,1.6250,0.2250,0.0043,-0.0256,-0.2421,0.2435
10.8320,0.9250,-1.8250,0.2250,-0.0032,-0.0170,0.2695,0.2701
10.8320,0.3750,-4.4250,0.1250,-0.0095,-0.0028,-0.2501,0.2503
10.8320,-1.3250,-4.4250,-0.0250,0.1455,-0.0197,0.2549,0.2942
10.8320,-0.0250,4.5750,-0.0250,-0.1706,-0.0031,-0.1689,0.2401
10.8320,0.6750,4.5750,0.0250,-0.1159,0.0062,-0.3071,0.3283
10.8320,-0.6250,-4.4250,0.1750,0.0416,0.0064,0.2661,0.2694
10.8320,0.9250,1.3250,0.1250,0.0592,0.0442,-0.2155,0.2278
10.8320,0.7250,-4.4250,0.4250,0.2315,-0.0092,0.0055,0.2318
10.8320,-1.3250,-4.4250,0.1750,-0.0351,-0.0219,0.2355,0.2392
10.8320,0.9250,1.0250,0.1250,0.0110,0.0076,0.2672,0.2675
10.8320,0.9250,2.0750,0.0250,-0.0656,0.1192,-0.1854,0.2300
10.8320,0.9250,1.8750,0.0250,-0.0124,-0.0246,-0.3838,0.3848
10.8320,-0.4750,-4.4250,0.4250,0.0456,-0.0050,0.4518,0.4541
10.8320,-0.6250,-4.4250,0.3750,0.1989,0.0137,-0.3141,0.3720
10.8320,-0.9750,-4.4250,0.3750,0.2075,0.0148,0.0007,0.2080
10.8320,0.9250,2.0750,-0.0250,-0.0122,0.0198,-0.3419,0.3427
10.8320,0.9250,1.3250,0.0250,-0.0121,-0.0018,-0.2814,0.2817
10.8320,-0.6250,-4.4250,0.4250,0.1842,0.0105,-0.2389,0.3018
10.8320,0.9250,1.0250,0.0250,-0.0128,0.0061,-0.2173,0.2178
10.8320,-1.3250,-4.4250,0.4250,0.1933,0.0207,-0.1947,0.2752
10.8320,0.9250,1.7250,-0.0250,-0.0128,0.0312,-0.2404,0.2427
10.8320,0.9250,0.8750,0.0250,-0.0128,0.0027,-0.2122,0.2126
10.8320,0.9250,-3.1750,0.3750,-0.0136,0.2264,-0.0946,0.2457
10.8320,0.9250,-3.7250,0.4250,-0.0102,0.2614,0.1172,0.2866
10.8320,-1.5250,-4.4250,0.4750,0.0693,0.0022,0.2258,0.2362
10.8320,0.9250,-2.2250,0.2750,-0.0157,0.1016,-0.2334,0.2550
10.8320,0.9250,-2.7750,0.3250,-0.0157,0.1554,-0.2456,0.2910
10.8320,0.5750,-4.4250,0.4750,0.0631,0.0005,-0.1941,0.2041
10.8320,-0.4250,-4.4250,0.4750,0.0502,0.0045,-0.2172,0.2230
10.8320,-2.0750,-4.4250,0.4750,0.0131,0.0104,-0.3916,0.3920
10.8320,-3.2250,-4.4250,0.4750,0.2072,0.0368,0.1694,0.2701
10.8320,0.8750,-1.9750,0.2250,-0.0140,0.0462,-0.3071,0.3109
10.8320,0.5750,-4.4250,0.3750,0.2241,-0.0034,-0.3635,0.4271
10.8320,0.2250,-4.4250,0.4250,0.2058,-0.0022,-0.0366,0.2091
10.8320,-0.2750,-4.4250,0.4250,0.2037,-0.0012,0.3166,0.3765
10.8320,-0.7750,-4.4250,0.4250,0.1881,0.0110,-0.1211,0.2240
10.8320,-1.1250,-4.4250,0.4250,0.1956,0.0119,0.1196,0.2295
10.8320,-1.8750,-4.4250,0.4250,0.2130,0.0224,0.2486,0.3281
10.8320,-4.7750,1.5750,0.1750,0.0033,-0.0228,-0.2231,0.2243
10.8320,0.8750,-1.3750,0.1250,-0.0099,-0.0203,-0.3278,0.3286
10.8320,0.9250,-1.7750,0.1750,-0.0124,0.0024,-0.3550,0.3553
10.8320,-0.2750,-4.4250,0.3250,0.1988,0.0061,-0.1106,0.2276
10.8320,-1.0750,4.5750,-0.0250,-0.1716,-0.0215,-0.3032,0.3491
10.8320,-0.3750,4.5750,-0.0250,-0.1712,-0.0027,0.2256,0.2832
10.8320,0.9250,2.6250,-0.0250,-0.0646,0.1918,0.0074,0.2025
10.8320,0.9250,2.3250,-0.0250,-0.0560,0.2416,-0.0952,0.2656
10.8320,0.8750,1.7250,-0.0250,-0.0052,-0.0138,0.2273,0.2278
10.8320,0.9250,1.9250,0.0250,0.0010,0.0343,-0.2082,0.2110
10.8320,-1.1250,-4.4250,0.2250,0.0905,0.0161,0.2065,0.2261
10.8320,0.1250,4.5750,0.1250,0.0100,-0.0067,-0.2854,0.2857
10.8320,0.9250,-1.0250,0.0250,0.0122,-0.0001,0.2230,0.2233
10.8320,-1.1250,-4.4250,0.1250,0.0084,-0.0140,-0.2014,0.2021
10.8320,-3.4250,3.8750,0.3750,0.0507,0.1039,-0.2657,0.2898
10.8320,0.8750,-1.9750,-0.0250,0.0054,-0.0396,-0.3390,0.3413
10.8320,-0.2750,-4.4250,-0.0250,0.1622,-0.0055,0.1210,0.2024
10.8320,-3.3250,4.0750,0.4250,-0.0912,-0.1936,-0.1002,0.2363
10.8320,-1.2750,4.5750,0.4250,-0.2465,0.0159,0.0812,0.2600
10.8320,-1.0750,4.5750,0.4250,-0.2403,0.0159,0.2265,0.3306
10.8320,0.9250,1.3250,0.1750,0.0128,0.0298,0.2585,0.2605
10.8320,0.9250,-1.0750,0.0250,0.0120,0.0018,0.2291,0.2294
10.8320,-0.7250,4.5750,0.4250,-0.2201,0.0084,0.0253,0.2217
10.8320,0.9250,-1.7750,-0.0250,0.0115,0.0253,0.2595,0.2609
10.8320,-4.1250,2.6750,0.2750,0.0166,0.0271,-0.2505,0.2525
10.8320,-0.2250,4.5750,0.4750,-0.0572,-0.0026,-0.2385,0.2453
10.8320,0.9250,2.0750,0.2750,0.0150,0.0978,0.2088,0.2310
10.8320,0.9250,3.0250,0.3750,0.0171,0.1968,0.0695,0.2094
10.8320,0.9250,-0.7250,0.0750,0.0109,-0.0140,0.2342,0.2349
10.8320,0.9250,-1.3750,0.0250,0.0102,-0.0129,0.2880,0.2884
10.8320,0.9250,-1.4750,0.0250,0.0100,-0.0117,0.3010,0.3014
10.8320,-2.2750,4.5750,0.2250,0.1131,-0.0254,0.2253,0.2533
10.8320,0.9250,-1.9750,0.0250,0.0075,-0.0443,0.3970,0.3995
10.8320,0.5750,-4.4250,-0.0250,0.1692,0.0110,-0.1957,0.2590
10.8320,0.9250,-1.9750,0.2250,-0.0032,-0.0222,0.3017,0.3025
10.8320,0.5750,-4.4250,0.1750,0.0461,-0.0118,0.1963,0.2020
10.8320,0.9250,-2.2750,0.2750,-0.0062,0.0276,0.2493,0.2509
10.8320,-1.8750,-4.4250,0.1250,0.0050,-0.0291,0.3196,0.3210
10.8320,0.2250,-4.4250,0.3750,0.2224,-0.0027,-0.0486,0.2277
10.8320,0.8750,-4.4250,0.4750,0.0001,0.3068,0.1730,0.3522
10.8320,-0.1750,1.9750,-0.0750,-0.0062,-0.4120,0.0008,0.4121
10.8320,0.0750,1.9750,-0.0750,-0.0303,0.2685,0.0005,0.2702
10.8320,0.5250,1.9250,-0.0750,0.0695,0.3957,-0.0002,0.4018
10.8320,0.9250,-3.1250,0.3250,-0.0153,0.1256,-0.3946,0.4144
10.8320,0.5750,-4.4250,0.4250,0.2074,-0.0028,-0.2738,0.3435
10.8320,-1.4750,-4.4250,0.4750,0.0375,0.0081,-0.2512,0.2541
